SEGMENTID,the_geom,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
69163,POINT (-73.93710833747073 40.79984400956955),0,N,2,12171,10,1074333,1,05/14/2009 12:00:00 AM +0000,11/29/2016 12:00:00 AM +0000,2,DOE,10078501,5128938,PS 96 JOSEPH LANZETTA
34217,POINT (-73.9829219091849 40.76380762325644),0,,1,13932,3,1024838,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,3,FDNY,,1023588,ED SULLIVAN THTR
34220,POINT (-73.98288764761297 40.76405741768613),0,,1,2410,4,1024839,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,7,NYPD,,1023591,AMERITANIA HOTEL AT TIMES SQUARE
43117,POINT (-73.93634786975662 40.68091615244033),0,,2,3247,1,3047371,3,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,NYPD,,3058824,GOSPEL TEMPLE CHURCH OF GOD
9008897,POINT (-73.82191299264632 40.865502482529976),515,,1,8230,2,2093858,2,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,1,DoITT,,2101927,CO-OP CITY BUILDING 28
78137,POINT (-73.90296648123018 40.8334086349387),0,,,5077,2,2009619,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,2017249,LA PENINSULA COMMUNITY HEAD START
9004671,POINT (-73.94404016060808 40.7032418138991),2245,X,2,7129,3,3327986,3,05/14/2009 12:00:00 AM +0000,09/07/2012 12:00:00 AM +0000,1,DCP,32055002,3094096,BORINQUEN PLAZA BUILDING 1
17826,POINT (-74.02034113025549 40.649790482853675),0,N,2,13182,7,3332515,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,8,DCP,33361901,5125956,DSNY GARAGE BROOKLYN 10
67394,POINT (-73.93569488141881 40.75255340482011),0,,2,15765,1,4436782,4,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,EMS,,0,ST PATRICKS CHURCH
34220,POINT (-73.98375310434135 40.76440130450185),0,,1,5444,3,1024843,1,05/14/2009 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,3,FDNY,,1023594,STUDIO 54
42478,POINT (-73.91828483362288 40.65080302570205),0,,2,1028668,1,3104797,3,10/31/2016 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,9,OTHER,,3141489,GRACE DELIVERANCE TABERNACLE CHURCH
17826,POINT (-74.02030340276413 40.64981874048087),0,N,2,6997,7,3332515,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,8,DCP,33361701,5125956,DOS GARAGE BK SOUTH 7
169370,POINT (-73.85256665709217 40.702510848710844),451,G,1,884,1,0,4,05/14/2009 12:00:00 AM +0000,07/06/2011 12:00:00 AM +0000,4,DPR,41332501,0,FOREST PARK
28499,POINT (-73.95597412033213 40.65612258742809),0,,,4541,2,3115846,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3154211,FLATBUSH ACTION COMMUNITY DCC INC.
110967,POINT (-73.95199208849266 40.817180947292265),393,X,2,14092,2,1084069,1,05/14/2009 12:00:00 AM +0000,01/24/2012 12:00:00 AM +0000,5,DCP,11538520,1050299,CITY COLLEGE CDC
136480,POINT (-73.96642091116084 40.599204123105196),0,,2,14745,2,3191944,3,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,9,EMS,,3243281,SHAARE ZION CONGR
70507,POINT (-73.90895419318777 40.80756048363791),0,,1,11363,3,2003874,2,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,10,NYPD,,2101556,SOUTH BRONX MENTAL HEALTH COUNCIL COMMUNITY MENTAL HEALTH CENTER
20661,POINT (-74.01446469064702 40.65572877207941),0,X,2,9513,2,3378188,3,05/14/2009 12:00:00 AM +0000,12/16/2013 12:00:00 AM +0000,1,DCP,32384513,5144298,BUSH TERMINAL UNIT B
19658,POINT (-74.00674292455398 40.627426782002246),0,,1,15430,1,3142442,3,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,9,EMS,,3185505,COPTIC ORTHODOX CHURCH OF ST GEORGE
32468,POINT (-73.99981988458669 40.74210248845532),0,,,2997,2,1013872,1,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,7,EMS,,1017277,SCHLESINGER & SON
40329,POINT (-73.9271127494124 40.59430425728627),0,,,4418,2,3250077,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3310868,"KIDDIE PATCH, INC."
86283,POINT (-73.85726885216876 40.828547725585),0,N,1,10861,1,2025696,2,05/14/2009 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,20028201,5130610,PS 119
41814,POINT (-73.93689129307113 40.6372485139284),0,,1,5674,1,3113388,3,05/14/2009 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,3151465,PS 198
76561,POINT (-73.87694938633088 40.742941660375806),0,,1,12825,16,4439252,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,NYPD,,43968,ST BARTHOLOMEW SCHOOL
81609,POINT (-73.86954271820879 40.73586467991076),0,,1,12854,6,4046340,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,51928,CATHEDRAL PREP HS
79125,POINT (-73.88484216823072 40.84072797270468),0,,1,10414,6,2010618,2,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,5163811,ST THOMAS AQUINAS SCHL
52359,POINT (-73.86532098020727 40.705933003596016),0,,1,4009,1,4093076,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,9,EMS,,103339,GLEN DALE SACRED HEART CH
17062,POINT (-74.0289025115495 40.620089182632604),0,,,4910,2,3154218,3,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,5,EMS,,3199036,EARLY CHILDOOD CTR
34645,POINT (-73.978017788889 40.738085056689215),0,,1,1020445,7,1020601,1,06/05/2013 12:00:00 AM +0000,06/06/2013 12:00:00 AM +0000,2,OTHER,,1022667,K B WEISSMAN CLINICAL SCIENCE BUILDING NYU COLLEGE OF DENTISTRY
41560,POINT (-73.90970106142385 40.618755891562735),0,,1,4187,3,3237201,3,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,9,EMS,,3295938,FLTBSH SHOLOM TMPL
