seqno,pseudo_date,variety,variety_num,variety_freq,price,variety_price,country,description,designation,points,province,province_num,region_1,region_2,winery
144982,4/5/2018,Albariño,1,1,19,19,Spain,"Our favorite among this winery's 2005s, Ambar offers tight, dry, precise aromas backed by driving flavors of melon, peach and orange-blossom honey. Very much on the spot; an Albariño that you can't go wrong with.",Ambar,90,Galicia,13,Rías Baixas,,Granbazán
44788,1/30/2018,Barbera,2,1,24.5,24.5,Italy,Here's a balanced and sophisticated Barbera d'Asti Superiore with oak tones that seem to jive well with the natural intensity of the fruit flavors. The wine's texture is smooth and silky although there is that characteristic bite of acidity on the close.,Acsé,90,Piedmont,23,Barbera d'Asti Superiore,,Scrimaglio
88582,3/8/2018,Blaufränkisch,3,1,20,20,Austria,"The partner to Beck's Zweigelt, this is every bit as complex and structured. It has a solid, firm feel, with darkly tannic fruit, a broad texture and a hint of toast. This is for aging for at least a year. Screwcap.",,90,Burgenland,4,,,Judith Beck
4366,1/3/2018,Bordeaux-style Red Blend,4,4,24.5,30.25,France,"This structured, firm wine lives up to the fortifications at its namesake château. It's a dark wine, not quite ripe with some green fruit flavors. Acidity and dry tannins are very present and need to soften. Let it wait and drink from 2017.",,85,Bordeaux,3,Médoc,,Château Loirac
7167,1/5/2018,Bordeaux-style Red Blend,4,4,12,30.25,France,"This is a rich, ripe wine that is full of black fruits and fine, dusty tannins. It's full-bodied, the fruitiness rounded out with some light wood aging. Juicy and fruity at the end, this could age for a year or two, so drink from 2016.",Cuvée Prestige,87,Bordeaux,3,Bordeaux,,Château Belvue
74214,2/25/2018,Bordeaux-style Red Blend,4,4,60,30.25,France,"French philosopher and writer Charles-Louis de Montesquieu once lived at the moated Château de la Brède, hence the name of this wine. It is a ripe, finely perfumed wine, with new wood and eucalyptus aromas, rich red fruits and a soft, open series of tannins. It is almost ready to drink, but the chocolate edge suggests it should be kept until 2017.",Cuvée Montesquieu,90,Bordeaux,3,Graves,,Château de la Brède
144094,4/3/2018,Bordeaux-style Red Blend,4,4,24.5,30.25,France,"91-93 Barrel sample. A powerfully fruity wine, full of black fruits, soft tannins and new wood spice. Modern in style, this still retains firm tannins and freshness.",Barrel sample,92,Bordeaux,3,Margaux,,Chateau Dauzac
132946,3/31/2018,Bordeaux-style White Blend,5,1,24.5,24.5,France,"90-92 Barrel sample. Fresh, full in the mouth wine, the bright Sauvignon character, rounded and given a pear fruit character. Just touched by wood.",Barrel sample,91,Bordeaux,3,Pessac-Léognan,,Château la Garde
34618,1/20/2018,Cabernet Franc,6,2,36,33,US,"A lovely wine, that's gentle, feminine and dry—just what Cabernet Franc is supposed to be. Kudos to Kenneth Volk for holding it back this long. It's still pretty tannic, but the cherry and currant flavors have a savory hint of green herbs that lend complexity and deliciousness. This may be the perfect steak wine.",,92,California,6,Paso Robles,Central Coast,Kenneth Volk
109007,3/19/2018,Cabernet Franc,6,2,30,33,US,"Herbal, peppery, tannic and slightly green, but very flavorful and interesting. Green coffee bean flavors are pure varietal; the tannins are tight and compact, with penetrating flavors. The fruit is dark, dense and very compact; the herbal flavors are there, but so is the ripeness, the smoke, the roasted earth and the chocolate.",,91,Washington,32,Walla Walla Valley (WA),Columbia Valley,GraEagle
7560,1/7/2018,Cabernet Sauvignon,7,10,50,32,US,"Dry and somewhat dull in dried herb and chalky tannins, this wine lacks fruit, instead taking on a tomato leaf edge.",35th Anniversary,85,California,6,Napa Valley,Napa,Keenan
47559,2/3/2018,Cabernet Sauvignon,7,10,28,32,US,"There are lots of rich, attractive flavors of black currant, herb and dark chocolate in this Cabernet, plus a deft touch of smoky oak. It feels just fine in the mouth, and it's ready to drink now.",,89,California,6,Alexander Valley,Sonoma,Rodney Strong
89867,3/9/2018,Cabernet Sauvignon,7,10,65,32,US,"Enormous tannins make this mountain wine astringent and hard, and emphasize the dryness. The end result is a Cab that's not very satisfying right now. But the black currant and cedar flavors are deep and pleasant. It's something of a gamble, but try cellaring until after 2011.",,87,California,6,Howell Mountain,Napa,Stephen & Walker
